"country";"1952";"1957";"1962";"1967";"1972";"1977";"1982";"1987";"1992";"1997";"2002";"2007"
"Afghanistan";8.4;9.2;10.3;11.5;13.1;14.9;12.9;13.9;16.3;22.2;25.3;31.9
"Albania";1.3;1.5;1.7;2;2.3;2.5;2.8;3.1;3.3;3.4;3.5;3.6
"Algeria";9.3;10.3;11;12.8;14.8;17.2;20;23.3;26.3;29.1;31.3;33.3
"Angola";4.2;4.6;4.8;5.2;5.9;6.2;7;7.9;8.7;9.9;10.9;12.4
"Argentina";17.9;19.6;21.3;22.9;24.8;27;29.3;31.6;34;36.2;38.3;40.3
"Australia";8.7;9.7;10.8;11.9;13.2;14.1;15.2;16.3;17.5;18.6;19.5;20.4
"Austria";6.9;7;7.1;7.4;7.5;7.6;7.6;7.6;7.9;8.1;8.1;8.2
"Bahrain";0.1;0.1;0.2;0.2;0.2;0.3;0.4;0.5;0.5;0.6;0.7;0.7
"Bangladesh";46.9;51.4;56.8;62.8;70.8;80.4;93.1;103.8;113.7;123.3;135.7;150.4
"Belgium";8.7;9;9.2;9.6;9.7;9.8;9.9;9.9;10;10.2;10.3;10.4
"Benin";1.7;1.9;2.2;2.4;2.8;3.2;3.6;4.2;5;6.1;7;8.1
"Bolivia";2.9;3.2;3.6;4;4.6;5.1;5.6;6.2;6.9;7.7;8.4;9.1
"Bosnia and Herzegovina";2.8;3.1;3.3;3.6;3.8;4.1;4.2;4.3;4.3;3.6;4.2;4.6
"Botswana";0.4;0.5;0.5;0.6;0.6;0.8;1;1.2;1.3;1.5;1.6;1.6
"Brazil";56.6;65.6;76;88;100.8;114.3;129;142.9;156;168.5;179.9;190
"Bulgaria";7.3;7.7;8;8.3;8.6;8.8;8.9;9;8.7;8.1;7.7;7.3
"Burkina Faso";4.5;4.7;4.9;5.1;5.4;5.9;6.6;7.6;8.9;10.4;12.3;14.3
"Burundi";2.4;2.7;3;3.3;3.5;3.8;4.6;5.1;5.8;6.1;7;8.4
"Cambodia";4.7;5.3;6.1;7;7.5;7;7.3;8.4;10.2;11.8;12.9;14.1
"Cameroon";5;5.4;5.8;6.3;7;8;9.3;10.8;12.5;14.2;15.9;17.7
"Canada";14.8;17;19;20.8;22.3;23.8;25.2;26.5;28.5;30.3;31.9;33.4
"Central African Republic";1.3;1.4;1.5;1.7;1.9;2.2;2.5;2.8;3.3;3.7;4;4.4
"Chad";2.7;2.9;3.2;3.5;3.9;4.4;4.9;5.5;6.4;7.6;8.8;10.2
"Chile";6.4;7;8;8.9;9.7;10.6;11.5;12.5;13.6;14.6;15.5;16.3
"China";556.3;637.4;665.8;754.5;862;943.5;1000.3;1084;1165;1230.1;1280.4;1318.7
"Colombia";12.4;14.5;17;19.8;22.5;25.1;27.8;31;34.2;37.7;41;44.2
"Comoros";0.2;0.2;0.2;0.2;0.3;0.3;0.3;0.4;0.5;0.5;0.6;0.7
"Congo, Dem. Rep.";14.1;15.6;17.5;19.9;23;26.5;30.6;35.5;41.7;47.8;55.4;64.6
"Congo, Rep.";0.9;0.9;1;1.2;1.3;1.5;1.8;2.1;2.4;2.8;3.3;3.8
